[WI-0][TI-3952] - [INFO] 2024-05-07 09:03:34.776 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3952, processInstanceId=1059, status=6, startTime=1715043192736, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1059/3952.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1059/3952, endTime=1715043213032, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043814759)
[WI-0][TI-3944] - [INFO] 2024-05-07 09:04:10.805 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3944, processInstanceId=1051, status=6, startTime=1715041077174, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1051/3944.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1051/3944, endTime=1715041109126, processId=316, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043550055)
[WI-0][TI-3944] - [INFO] 2024-05-07 09:04:10.808 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3944, processInstanceId=1051, status=6, startTime=1715041077174, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1051/3944.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1051/3944, endTime=1715041109126, processId=316, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043850805)
[WI-0][TI-3948] - [INFO] 2024-05-07 09:04:21.823 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3948, processInstanceId=1055, status=6, startTime=1715042336910, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1055/3948.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1055/3948, endTime=1715042357115, processId=1041, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043561085)
[WI-0][TI-3948] - [INFO] 2024-05-07 09:04:21.828 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3948, processInstanceId=1055, status=6, startTime=1715042336910, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1055/3948.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1055/3948, endTime=1715042357115, processId=1041, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043861823)
[WI-0][TI-3946] - [INFO] 2024-05-07 09:06:06.010 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3946, processInstanceId=1053, status=9, startTime=1715041547086, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1053/3946.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1053/3946, endTime=1715041560344, processId=628, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043665317)
[WI-0][TI-3946] - [INFO] 2024-05-07 09:06:06.014 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3946, processInstanceId=1053, status=9, startTime=1715041547086, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1053/3946.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1053/3946, endTime=1715041560344, processId=628, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043966010)
[WI-0][TI-3945] - [INFO] 2024-05-07 09:06:09.015 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3945, processInstanceId=1052, status=6, startTime=1715041538811, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1052/3945.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1052/3945, endTime=1715041563133, processId=534, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043668351)
[WI-0][TI-3945] - [INFO] 2024-05-07 09:06:09.021 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3945, processInstanceId=1052, status=6, startTime=1715041538811, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1052/3945.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1052/3945, endTime=1715041563133, processId=534, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043969015)
[WI-0][TI-3951] - [INFO] 2024-05-07 09:06:11.024 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3951, processInstanceId=1058, status=6, startTime=1715043050066, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1058/3951.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1058/3951, endTime=1715043068290, processId=1558, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043670359)
